iter	Passed	Remaining
402	12137	78214
403	12162	78151
404	12189	78102
405	12218	78063
406	12245	78017
407	12272	77967
408	12296	77900
409	12323	77846
410	12348	77783
411	12374	77731
412	12400	77672
413	12426	77618
414	12451	77557
415	12476	77497
416	12501	77438
417	12527	77384
418	12554	77334
419	12579	77276
420	12606	77228
421	12634	77181
422	12661	77138
423	12687	77081
424	12713	77028
425	12741	76984
426	12768	76938
427	12793	76882
428	12819	76826
429	12844	76765
430	12872	76726
431	12897	76669
432	12922	76607
433	12948	76558
434	12975	76508
435	13001	76455
436	13026	76397
437	13051	76343
438	13077	76290
439	13103	76239
440	13129	76187
441	13155	76132
442	13183	76097
443	13209	76044
444	13236	75995
445	13260	75938
446	13288	75897
447	13316	75854
448	13342	75803
449	13367	75751
450	13393	75701
451	13422	75662
452	13448	75614
453	13473	75557
454	13499	75509
455	13524	75450
456	13552	75410
457	13580	75377
458	13614	75370
459	13642	75328
460	13668	75283
461	13695	75237
462	13720	75181
463	13746	75133
464	13773	75088
465	13799	75035
466	13824	74985
467	13850	74935
468	13877	74889
469	13903	74841
470	13929	74795
471	13954	74741
472	13981	74694
473	14006	74640
474	14030	74584
475	14056	74533
476	14083	74491
477	14112	74458
478	14137	74407
479	14162	74354
480	14189	74312
481	14215	74260
482	14240	74212
483	14267	74167
484	14295	74128
485	14313	74043
486	14339	73996
487	14365	73946
488	14394	73914
489	14421	73875
490	14449	73838
491	14476	73796
492	14504	73756
493	14531	73714
494	14557	73667
495	14583	73621
496	14608	73571
497	14635	73532
498	14663	73495
499	14691	73455
500	14719	73423
501	14749	73396
502	14774	73344
503	14801	73301
504	14827	73256
505	14841	73151
506	14866	73102
507	14892	73054
508	14919	73015
509	14960	73040
510	14986	72998
511	15016	72972
512	15044	72933
513	15069	72885
514	15097	72849
515	15124	72809
516	15152	72774
517	15178	72726
518	15205	72687
519	15232	72647
520	15260	72614
521	15288	72576
522	15313	72525
523	15341	72490
524	15366	72439
525	15391	72394
526	15416	72342
527	15443	72302
528	15469	72259
529	15496	72217
530	15521	72169
531	15544	72113
532	15570	72070
533	15595	72018
534	15621	71974
535	15647	71930
536	15672	71884
537	15697	71834
538	15723	71789
539	15749	71746
540	15774	71700
541	15799	71651
542	15826	71611
543	15851	71566
544	15876	71519
545	15903	71477
546	15928	71430
547	15953	71385
548	15981	71347
549	16006	71301
550	16032	71256
551	16058	71215
552	16086	71180
553	16110	71130
554	16136	71088
555	16161	71039
556	16188	71000
557	16212	70951
558	16239	70915
559	16285	70956
560	16310	70911
561	16335	70866
562	16363	70831
563	16389	70787
564	16416	70752
565	16441	70705
566	16468	70666
567	16496	70632
568	16522	70590
569	16551	70559
570	16576	70516
571	16603	70478
572	16628	70432
573	16654	70392
574	16684	70366
575	16710	70323
576	16736	70282
577	16761	70237
578	16787	70196
579	16813	70154
580	16838	70108
581	16865	70070
582	16892	70034
583	16919	69994
584	16945	69955
585	16971	69914
586	16998	69875
587	17023	69829
588	17050	69795
589	17076	69753
590	17102	69710
591	17129	69677
592	17154	69628
593	17180	69589
594	17208	69555
595	17233	69512
596	17259	69473
597	17284	69428
598	17313	69397
599	17332	69331
600	17361	69302
601	17386	69256
602	17412	69217
603	17438	69177
604	17465	69140
605	17492	69102
606	17520	69071
607	17550	69048
608	17587	69051
609	17613	69010
610	17638	68967
611	17663	68923
612	17690	68887
613	17717	68850
614	17747	68826
615	17773	68786
616	17798	68742
617	17825	68705
618	17852	68670
619	17878	68632
620	17905	68592
621	17931	68555
622	17957	68515
623	17983	68476
624	18009	68437
625	18036	68400
626	18061	68358
627	18088	68320
628	18113	68278
629	18140	68242
630	18164	68197
631	18192	68163
632	18219	68129
633	18246	68093
634	18272	68055
635	18297	68009
636	18322	67968
637	18344	67916
638	18370	67874
639	18395	67832
640	18420	67792
641	18447	67755
642	18473	67716
643	18499	67678
644	18526	67642
645	18552	67605
646	18578	67567
647	18604	67528
648	18629	67484
649	18655	67447
650	18680	67405
651	18706	67367
652	18733	67330
653	18758	67288
654	18784	67253
655	18810	67213
656	18836	67175
657	18863	67138
658	18900	67141
659	18927	67104
660	18954	67071
661	18980	67035
662	19007	66999
663	19035	66966
664	19061	66930
665	19088	66895
666	19114	66858
667	19140	66819
668	19166	66782
669	19192	66743
670	19219	66710
671	19244	66669
672	19272	66638
673	19300	66607
674	19325	66565
675	19351	66527
676	19377	66489
677	19403	66453
678	19428	66412
679	19454	66373
680	19482	66343
681	19508	66305
682	19538	66282
683	19564	66244
684	19590	66208
685	19616	66170
686	19641	66129
