iter	RMSE
0	0.5160210978
1	0.5029681421
2	0.4905310614
3	0.4785428788
4	0.4669986395
5	0.4556889904
6	0.4453302346
7	0.4353160058
8	0.4256191272
9	0.4157826387
10	0.4071703948
11	0.3977439234
12	0.3882569754
13	0.3813578078
14	0.3743880423
15	0.3662770087
16	0.3603328199
17	0.3526954032
18	0.3452142441
19	0.3380201213
20	0.3318496807
21	0.3249390502
22	0.3189897234
23	0.3134744261
24	0.3082235265
25	0.3022067124
26	0.2969171044
27	0.2918185828
28	0.2870336383
29	0.2822329369
30	0.2778681353
31	0.2734623561
32	0.2690331155
33	0.2648984962
34	0.2602523023
35	0.2560080223
36	0.2516663561
37	0.2475661867
38	0.2442434105
39	0.2404459843
40	0.2368696215
41	0.2337020285
42	0.230574097
43	0.2273305494
44	0.224749549
45	0.2218985095
46	0.2183498961
47	0.2155288224
48	0.2123710868
49	0.2094294968
50	0.206297379
51	0.2040933236
52	0.2017528071
53	0.1991380163
54	0.1966660516
55	0.1940240462
56	0.1917731739
57	0.1900077758
58	0.1882265862
59	0.1863219992
60	0.1848112222
61	0.1826691423
62	0.1810373253
63	0.1790603384
64	0.1773973937
65	0.1754174708
66	0.1740903106
67	0.1726714557
68	0.1713569946
69	0.1698703345
70	0.1685819973
71	0.167352951
72	0.165755237
73	0.1647509944
74	0.1633554717
75	0.1620217199
76	0.1611202594
77	0.1601119777
78	0.1591659756
79	0.1581583457
80	0.157276945
81	0.1561797206
82	0.1550667947
83	0.1542031788
84	0.1533903666
85	0.1529663416
86	0.1518295212
87	0.1508337085
88	0.1499980826
89	0.1491784248
90	0.1484950992
91	0.1474089389
92	0.1465754677
93	0.1460622693
94	0.1447624716
95	0.1438497067
96	0.1431518695
97	0.1425644251
98	0.1419906501
99	0.1411952747
100	0.1401479996
101	0.1391976923
102	0.1385536595
103	0.1381046445
104	0.137492807
105	0.1369027478
106	0.1363840611
107	0.1357729617
108	0.1349858039
109	0.1340171924
110	0.1332784722
111	0.1324301554
112	0.1318401244
113	0.1310785701
114	0.1301783398
115	0.1296980054
116	0.1289715778
117	0.1281865865
118	0.1274722036
119	0.1266469562
120	0.1261973007
121	0.1256657288
122	0.1252148527
123	0.1247823521
124	0.1240714671
125	0.1235412285
126	0.1230210854
127	0.1222499286
128	0.1219039401
129	0.1215494744
130	0.1212016835
131	0.1205664127
132	0.1200451708
133	0.1197503486
134	0.11956505
135	0.1192816419
136	0.1187505806
137	0.1185085099
138	0.1179691674
139	0.1176879682
140	0.1174032835
141	0.117039244
142	0.1168130476
143	0.1161873365
144	0.1158762821
145	0.1154327065
146	0.1149772254
147	0.1146557192
148	0.1142804299
149	0.1137343617
150	0.1133624586
151	0.1128846943
152	0.1125118495
153	0.1122198151
154	0.1119494676
155	0.1115852039
156	0.1114080639
157	0.1111426488
158	0.1109767669
159	0.1107730204
160	0.1106806852
161	0.1102524291
162	0.109911314
163	0.1097876689
164	0.109705649
165	0.1092608531
166	0.1087685531
167	0.108596418
168	0.1083961165
169	0.1082288805
170	0.1079504167
171	0.107684737
172	0.1075237212
173	0.1074298227
174	0.1066848042
175	0.1064076425
176	0.1056988967
177	0.1052445468
178	0.1048806589
179	0.1045755393
180	0.1039948418
181	0.1038121272
182	0.1036174666
183	0.1032536758
184	0.1031080687
185	0.1026351703
186	0.1023896408
187	0.1021994146
188	0.102036798
189	0.1013450539
190	0.1006602916
191	0.1003056824
192	0.1001496286
193	0.09971235236
194	0.0993929369
195	0.09933065963
196	0.09900909655
197	0.09878437563
198	0.09863372388
199	0.09833143418
200	0.09826179583
201	0.09822119105
202	0.09790757414
203	0.09786570415
204	0.09742641935
205	0.09699889533
206	0.09682210108
207	0.09645008278
208	0.09601028601
209	0.0954162527
210	0.09525271359
211	0.09508891136
212	0.094936356
213	0.09477834964
214	0.09463603735
215	0.09392049994
216	0.09357528793
217	0.09314263653
218	0.09290569489
219	0.09271803827
220	0.09250091986
221	0.09196371013
222	0.0918657095
223	0.09170629646
224	0.0916082376
225	0.09136963377
226	0.09121301486
227	0.0910567682
228	0.09097485761
229	0.09072135967
230	0.09037712204
231	0.09006896338
232	0.08993699003
233	0.08944714356
234	0.08918122233
235	0.08910656032
236	0.08876124418
237	0.08846662724
238	0.08829527773
239	0.0881083952
240	0.08802164323
241	0.0876815591
242	0.08741489927
243	0.08701455608
244	0.08679541393
245	0.0863683216
246	0.08603978479
247	0.08570467276
248	0.08549975099
249	0.08515065353
250	0.08506085271
251	0.0848273591
252	0.08425981655
253	0.08381032082
254	0.08366946246
255	0.08337968796
256	0.08306351924
257	0.08303880745
258	0.08244720773
259	0.08192349491
260	0.08161088073
261	0.08142280461
262	0.08118675402
263	0.08092669197
264	0.08063059437
265	0.08047524513
266	0.08014498354
267	0.07978125768
268	0.07943052653
269	0.07933180771
270	0.07895151709
271	0.07867618631
272	0.0784073035
273	0.07820650861
274	0.07798405605
275	0.07783926558
276	0.0776459055
277	0.07742374358
278	0.07734953228
279	0.07693908086
280	0.07674533127
281	0.07660633665
282	0.0762579014
283	0.07590367489
284	0.07548726039
285	0.07522657285
286	0.0751322598
287	0.07508846154
288	0.07501283682
289	0.07489644619
290	0.07468666666
291	0.07456290852
292	0.07448688387
293	0.07424893146
294	0.07410304482
295	0.07401919937
296	0.07372854328
297	0.07346209337
298	0.07328999254
299	0.07318851016
300	0.07283808371
301	0.07266557696
302	0.07259199321
303	0.07230133487
304	0.07219326371
305	0.07196154107
306	0.07193042776
307	0.07164821817
308	0.07154461754
309	0.07145451945
310	0.07130743004
311	0.07117667301
312	0.07095969527
313	0.07076493708
314	0.07069972505
315	0.07063068205
316	0.07047699149
317	0.07023559706
318	0.06991691415
319	0.06975928976
320	0.0694534479
321	0.06941215732
322	0.06913336843
323	0.06893805193
324	0.06872919014
325	0.06839010194
326	0.06830494482
327	0.06820163463
328	0.06805037799
329	0.06785106421
330	0.06778033281
331	0.0675496644
332	0.06741385837
333	0.06721256191
334	0.06694361353
335	0.06687967518
336	0.0667974111
337	0.06662902173
338	0.06649443648
339	0.0663856593
340	0.06618234581
341	0.06610044146
342	0.06591606774
343	0.06554167654
344	0.06530671277
345	0.06512232221
346	0.06497173844
347	0.06482269863
348	0.06459007168
349	0.06443511731
350	0.06432419374
351	0.06426322681
352	0.06410606221
353	0.06399348827
354	0.06383080106
355	0.06378318693
